R,Nome,Squadra
A,IMMOBILE,Lazio
A,LUKAKU R,Inter
A,CRISTIANO RONALDO,Juventus
A,ZAPATA D,Atalanta
A,JOAO PEDRO,Cagliari
A,DZEKO,Roma
A,CAPUTO,Sassuolo
C,GOMEZ A,Atalanta
A,MARTINEZ L,Inter
C,LUIS ALBERTO,Lazio
A,ILICIC,Atalanta
A,MURIEL,Atalanta
A,DYBALA,Juventus
A,MILIK,Napoli
A,BELOTTI,Torino
C,NAINGGOLAN,Cagliari
A,CORREA,Lazio
A,BERARDI,Sassuolo
A,HIGUAIN,Juventus
A,PALACIO,Bologna
D,GOSENS,Atalanta
A,SIMEONE,Cagliari
C,KULUSEVSKI,Parma
C,RIBERY,Fiorentina
A,MERTENS,Napoli
A,BOGA,Sassuolo
D,BONUCCI,Juventus
C,CASTROVILLI,Fiorentina
C,MILINKOVIC-SAVIC,Lazio
A,ORSOLINI,Bologna
A,KOUAME',Genoa
A,PIATEK,Milan
A,GABBIADINI,Sampdoria
C,PJANIC,Juventus
C,PELLEGRINI LO,Roma
A,INSIGNE,Napoli
A,LLORENTE,Napoli
D,HERNANDEZ T,Milan
D,SMALLING,Roma
C,PASALIC,Atalanta
C,CHIESA,Fiorentina
C,BROZOVIC,Inter
C,CANDREVA,Inter
C,ZANIOLO,Roma
C,ANSALDI,Torino
A,OKAKA,Udinese
D,DE VRIJ,Inter
D,KOLAROV,Roma
C,PULGAR,Fiorentina
C,MKHITARYAN,Roma
A,DONNARUMMA AL,Brescia
A,GERVINHO,Parma
A,QUAGLIARELLA,Sampdoria
A,PETAGNA,SPAL
P,STRAKOSHA,Lazio
D,MILENKOVIC,Fiorentina
D,ACERBI,Lazio
C,CASTRO,Cagliari
C,MANCOSU,Lecce
C,KUCKA,Parma
C,KLUIVERT,Roma
C,BERENGUER,Torino
C,NANDEZ,Cagliari
A,BALOTELLI,Brescia
P,HANDANOVIC,Inter
D,FARAONI,Verona
C,SENSI,Inter
C,VERETOUT,Roma
C,RAMIREZ,Sampdoria
C,TRAORE' HJ,Sassuolo
A,PANDEV,Genoa
A,CAICEDO,Lazio
A,FALCO,Lecce
P,SZCZESNY,Juventus
P,SEPE,Parma
D,CRISCITO,Genoa
D,MANOLAS,Napoli
C,TONALI,Brescia
C,BONAVENTURA,Milan
C,CALLEJON,Napoli
C,DJURICIC,Sassuolo
A,SANSONE N,Bologna
A,LAPADULA,Lecce
P,DONNARUMMA G,Milan
P,PAU LOPEZ,Roma
D,CALDERONI,Lecce
C,SORIANO,Bologna
C,CALHANOGLU,Milan
C,PEROTTI,Roma
C,DUNCAN,Sassuolo
C,KURTIC,SPAL
C,MIGUEL VELOSO,Verona
A,VLAHOVIC,Fiorentina
A,CORNELIUS,Parma
A,ZAZA,Torino
P,MERET,Napoli
P,SIRIGU,Torino
D,DI LORENZO,Napoli
C,DE ROON,Atalanta
C,ROMULO,Brescia
C,BARELLA,Inter
A,PINAMONTI,Genoa
A,LOZANO,Napoli
A,SANCHEZ A,Inter
P,BERISHA E,SPAL
D,CASTAGNE,Atalanta
D,TOLOI,Atalanta
D,GHIGLIONE,Genoa
C,FREULER,Atalanta
C,MALINOVSKYI,Atalanta
C,CIGARINI,Cagliari
C,BENTANCUR,Juventus
C,RAMSEY,Juventus
C,RUIZ,Napoli
C,DE PAUL,Udinese
C,LAZOVIC,Verona
A,PAVOLETTI,Cagliari
P,GOLLINI,Atalanta
P,JORONEN,Brescia
P,OLSEN,Cagliari
P,MUSSO,Udinese
P,SILVESTRI,Verona
D,SKRINIAR,Inter
D,CHIELLINI,Juventus
D,MANCINI G,Roma
D,IZZO,Torino
D,DARMIAN,Parma
C,PESSINA,Verona
C,ROG,Cagliari
C,GAGLIARDINI,Inter
C,LAZZARI M,Lazio
C,SUSO,Milan
C,VERRE,Verona
C,DI FRANCESCO F,SPAL
C,BASELLI,Torino
C,RINCON,Torino
C,ZACCAGNI,Verona
A,LA MANTIA,Lecce
A,LASAGNA,Udinese
A,DI CARMINE,Verona
A,RAFAEL LEAO,Milan
D,DJIMSITI,Atalanta
D,BANI,Bologna
D,DALBERT,Fiorentina
D,D'AMBROSIO,Inter
D,GODIN,Inter
D,ROMAGNOLI A,Milan
D,IACOPONI,Parma
C,DZEMAILI,Bologna
C,POLI,Bologna
C,VECINO,Inter
C,VERDI,Torino
C,ZIELINSKI,Napoli
C,AMRABAT,Verona
A,FARIAS,Lecce
A,SALCEDO E,Verona
A,DEFREL,Sassuolo
P,DRAGOWSKI,Fiorentina
D,CISTANA,Brescia
D,PISACANE,Cagliari
D,BRUNO ALVES,Parma
D,GAGLIOLO,Parma
D,TOLJAN,Sassuolo
D,RRAHMANI,Verona
C,OLIVA,Cagliari
C,CUADRADO,Juventus
C,LULIC,Lazio
C,PETRICCIONE,Lecce
C,ALLAN,Napoli
C,BARILLA',Parma
C,UNDER,Roma
C,FOFANA,Udinese
A,INGLESE,Parma
A,BONAZZOLI,Sampdoria
A,CAPRARI,Sampdoria
A,NESTOROVSKI,Udinese
P,BUFFON,Juventus
P,GABRIEL,Lecce
P,AUDERO,Sampdoria
P,CONSIGLI,Sassuolo
D,HATEBOER,Atalanta
D,DANILO LAR,Bologna
D,SABELLI,Brescia
D,CEPPITELLI,Cagliari
D,BIRAGHI,Inter
D,PEZZELLA GER,Fiorentina
D,ASAMOAH,Inter
D,ALEX SANDRO,Juventus
D,DE LIGT,Juventus
D,PELLEGRINI LU,Cagliari
D,MAKSIMOVIC,Napoli
D,SPINAZZOLA,Roma
D,DANILO,Juventus
D,CACERES,Fiorentina
D,KYRIAKOPOULOS,Sassuolo
C,KREJCI,Bologna
C,STURARO,Genoa
C,DOUGLAS COSTA,Juventus
C,MATUIDI,Juventus
C,BADELJ,Fiorentina
C,SCOZZARELLA,Parma
C,CRISTANTE,Roma
C,EKDAL,Sampdoria
C,STREFEZZA,SPAL
C,SEMA,Udinese
A,TORREGROSSA,Brescia
A,KARAMOH,Parma
A,SPROCATI,Parma
A,BOATENG,Fiorentina
A,IAGO FALQUE,Torino
P,SKORUPSKI,Bologna
P,OSPINA,Napoli
D,CHANCELLOR,Brescia
D,ROMERO C,Genoa
D,LUIZ FELIPE,Lazio
D,RADU,Lazio
D,LUCIONI,Lecce
D,ROSSETTINI,Lecce
D,DERMAKU,Parma
D,FLORENZI,Roma
D,COLLEY,Sampdoria
D,MARLON,Sassuolo
D,VICARI,SPAL
D,STRYGER LARSEN,Udinese
D,KUMBULLA,Verona
C,BISOLI,Brescia
C,BERNARDESCHI,Juventus
C,KHEDIRA,Juventus
C,MARUSIC,Lazio
C,HERNANI,Parma
C,DIAWARA,Roma
C,PASTORE,Roma
C,JANKTO,Sampdoria
C,LINETTY,Sampdoria
C,LOCATELLI M,Sassuolo
C,VALOTI,SPAL
C,MANDRAGORA,Udinese
C,SCHONE,Genoa
C,AGUDELO,Genoa
A,CERRI,Cagliari
A,BABACAR,Lecce
A,PUSSETTO,Udinese
A,PAZZINI,Verona
A,REBIC,Milan
D,TOMIYASU,Bologna
D,KLAVAN,Cagliari
D,KOULIBALY,Napoli
D,MURRU,Sampdoria
D,LIROLA,Fiorentina
D,N'KOULOU,Torino
D,NUYTINCK,Udinese
D,RODRIGO BECAO,Udinese
D,TROOST-EKONG,Udinese
D,MULDUR,Sassuolo
C,SVANBERG,Bologna
C,SPALEK,Brescia
C,IONITA,Cagliari
C,BENASSI,Fiorentina
C,RADOVANOVIC,Genoa
C,CATALDI,Lazio
C,LUCAS LEIVA,Lazio
C,PAROLO,Lazio
C,MAJER,Lecce
C,SHAKHOV,Lecce
C,TABANELLI,Lecce
C,GRASSI,Parma
C,MISSIROLI,SPAL
C,MURGIA,SPAL
C,BRUGMAN,Parma
A,DESTRO,Bologna
A,SANTANDER,Bologna
A,SKOV OLSEN,Bologna
A,POLITANO,Inter
A,STEPINSKI,Verona
P,RADU I,Genoa
P,PEGOLO,Sassuolo
D,PALOMINO,Atalanta
D,ROMAGNA,Sassuolo
D,DEMIRAL,Juventus
D,DEPAOLI,Sampdoria
D,BONIFAZI,Torino
D,DE SILVESTRI,Torino
D,ANKERSEN,Genoa
C,FARAGO',Cagliari
C,BORJA VALERO,Inter
C,CAN,Juventus
C,RABIOT,Juventus
C,TACHTSIDIS,Lecce
C,CASTILLEJO,Milan
C,KESSIE',Milan
C,KRUNIC,Milan
C,LAXALT,Torino
C,PAQUETA',Milan
C,MAGNANELLI,Sassuolo
C,MEITE',Torino
C,JAJALO,Udinese
C,GHEZZAL,Fiorentina
A,BARROW,Atalanta
A,RAGATZU,Cagliari
A,GUMUS,Genoa
A,ESPOSITO SE,Inter
A,RIGONI E,Sampdoria
P,ALFONSO,Brescia
D,MASIELLO A,Atalanta
D,RECA,SPAL
D,DENSWIL,Bologna
D,PAZ,Bologna
D,MARTELLA,Brescia
D,MATEJU,Brescia
D,CACCIATORE,Cagliari
